# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.3.0
#@/tick	1073
#@/user_id	ba10576e-7c67-46cc-9c5b-6d3419cac62d
kth 	咱	c=1 d=0.00509243 t=1073
ktn 	吃	c=1 d=0.287941 t=1073
ktyi 	响应	c=1 d=0.036334 t=1073
kvfb 	哪	c=1 d=0.697676 t=1073
kwfk 	啥	c=2 d=0.117406 t=1073
l 	国	c=1 d=0.0507928 t=1073
ldyl 	因为	c=1 d=0.00814786 t=1073
lei 	圂	c=1 d=0.109154 t=1073
lfyw 	默认	c=1 d=0.0117371 t=1073
lg 	车	c=2 d=0.138159 t=1073
lglg 	车辆	c=4 d=0.240744 t=1073
lk 	加	c=1 d=0.00634556 t=1073
lkd 	回	c=1 d=0.00474815 t=1073
lkgo 	回来	c=1 d=0.25284 t=1073
lkwq 	回你	c=1 d=0.0150707 t=1073
ll 	男	c=1 d=0.847894 t=1073
ltif 	输入法	c=6 d=0.05433 t=1073
ltth 	图片	c=1 d=0.321422 t=1073
ltu 	图	c=3 d=1.29371 t=1073
lwwc 	办公	c=1 d=0.0263839 t=1073
lwx 	轮	c=2 d=0.169204 t=1073
mgjf 	同时	c=1 d=0.0678809 t=1073
mgod 	同类	c=1 d=0.130029 t=1073
mhgf 	由于	c=1 d=0.0100518 t=1073
mmbw 	删除	c=3 d=0.409908 t=1073
mq 	风	c=1 d=0.0682212 t=1073
mqbw 	风险	c=1 d=0.145876 t=1073
mqj 	刚	c=3 d=0.470493 t=1073
mqq 	网	c=1 d=0.0284388 t=1073
mqxt 	网络	c=1 d=0.516851 t=1073
mthk 	几点	c=1 d=0.251579 t=1073
ni 	悄	c=1 d=0.690734 t=1073
njnj 	慢慢	c=1 d=0.0167392 t=1073
nnxc 	已经	c=1 d=0.29523 t=1073
npmn 	司空见惯	c=1 d=1 t=15
nuaj 	屏幕	c=2 d=0.047258 t=1073
nudu 	买	c=1 d=0.0267827 t=1073
nyue 	以前	c=1 d=0.0086517 t=1073
nyw 	以	c=1 d=0.442639 t=1073
o 	为	c=3 d=0.625413 t=1073
ooo 	火	c=1 d=0.170333 t=1073
ovrn 	数据	c=1 d=0.384812 t=1073
pb 	字	c=1 d=0.0228227 t=1073
pg 	定	c=1 d=0.105928 t=1073
pgn 	写	c=2 d=0.0300443 t=1073
pprg 	之后	c=1 d=0.00995182 t=1073
ppue 	之前	c=1 d=0.0101022 t=1073
pvhj 	案桌	c=1 d=0.341298 t=1073
pvuf 	安装	c=10 d=1.46217 t=1073
q 	我	c=26 d=4.50087 t=1073
qaj 	错	c=1 d=0.031117 t=1073
qdrg 	然后	c=2 d=0.0259561 t=1073
qeya 	角度	c=1 d=0.144424 t=1073
qk 	名	c=2 d=0.0282255 t=1073
qkhh 	钟	c=1 d=0.0513033 t=1073
qkpb 	名字	c=2 d=0.210366 t=1073
qlp 	链	c=1 d=0.522046 t=1073
qq 	多	c=3 d=0.273799 t=1073
qqpt 	金额	c=1 d=0.151829 t=1073
qvte 	键盘	c=1 d=0.0114473 t=1073
qy 	久	c=1 d=0.172907 t=1073
r 	的	c=42 d=10.7211 t=1073
ra 	找	c=2 d=0.0496421 t=1073
rang 	拒	c=1 d=0.0471227 t=1073
rc 	反	c=3 d=1.04214 t=1073
rcn 	把	c=3 d=0.0381459 t=1073
rdyc 	排序	c=1 d=0.13332 t=1073
rg 	后	c=2 d=0.0700892 t=1073
rgum 	后端	c=1 d=0.40657 t=1073
rhf 	看	c=1 d=0.0411719 t=1073
rhrh 	看看	c=1 d=0.118837 t=1073
rpv 	按	c=1 d=0.0142642 t=1073
rpw 	控	c=2 d=0.134438 t=1073
rq 	换	c=1 d=0.0145524 t=1073
rtsm 	手机	c=1 d=0.0356146 t=1073
rufa 	拦截	c=1 d=0.386741 t=1073
rufh 	抖	c=1 d=0.160414 t=1073
rvk 	招	c=1 d=0.554327 t=1073
rvww 	招人	c=1 d=0.00562801 t=1073
rxtm 	指向	c=1 d=0.0277367 t=1073
ryna 	扩展	c=1 d=0.369723 t=1073
sb 	李	c=1 d=0.0280154 t=1073
scbv 	权限	c=1 d=0.336216 t=1073
scdg 	权威	c=2 d=0.123513 t=1073
sftw 	标签	c=1 d=0.0502874 t=1073
shi 	椒	c=1 d=0.00615802 t=1073
skce 	可能	c=1 d=0.0902655 t=1073
skny 	可以	c=4 d=0.838434 t=1073
sv 	要	c=1 d=0.00690852 t=1073
swb 	枪	c=1 d=0.0247235 t=1073
t 	和	c=2 d=0.127809 t=1073
tc 	么	c=2 d=0.129446 t=1073
tdut 	知道	c=2 d=0.101148 t=1073
tdyk 	知识	c=1 d=0.367879 t=1073
tewt 	租赁	c=1 d=0.0665368 t=1073
tf 	行	c=1 d=0.0122161 t=1073
tfq 	先	c=2 d=0.129354 t=1073
tfrc 	选择	c=1 d=0.00960953 t=1073
tftg 	先生	c=1 d=0.0266491 t=1073
tgdn 	生成	c=2 d=0.760065 t=1073
tgh 	征	c=1 d=0.0620385 t=1073
tgus 	重新	c=1 d=0.0140519 t=1073
thgc 	版	c=1 d=0.0699482 t=1073
thgj 	处理	c=1 d=0.131336 t=1073
thn 	息	c=1 d=1 t=4
thnn 	自己	c=3 d=0.159744 t=1073
thtc 	怎么	c=1 d=0.0102037 t=1073
tk 	各	c=1 d=0.0065062 t=1073
tmg 	微	c=1 d=0.0536647 t=1073
toal 	番茄	c=1 d=0.0510474 t=1073
tqfc 	移动	c=2 d=0.0427108 t=1073
trn 	我	c=1 d=0.362402 t=1073
ttd 	笑	c=1 d=0.865022 t=1073
tve 	很	c=2 d=0.181005 t=1073
tx 	第	c=3 d=0.221724 t=1073
txi 	系	c=1 d=0.00786762 t=1073
txxy 	系统	c=4 d=0.0432491 t=1073
ud 	关	c=2 d=0.337984 t=1073
udgf 	关于	c=1 d=0.0724398 t=1073
udi 	头	c=1 d=0.142987 t=1073
udtx 	关系	c=1 d=0.00680566 t=1073
uduf 	关闭	c=1 d=0.33454 t=1073
udwq 	头像	c=1 d=0.292293 t=1073
ue 	前	c=1 d=0.0837432 t=1073
uerg 	前后	c=1 d=0.390628 t=1073
ueum 	前端	c=6 d=1.6968 t=1073
uh 	站	c=1 d=0.0285814 t=1073
ujf 	音	c=2 d=0.337618 t=1073
ujqi 	音乐	c=1 d=0.177284 t=1073
uk 	部	c=1 d=0.0788664 t=1073
ukd 	问	c=1 d=0.111359 t=1073
ukjg 	问题	c=1 d=0.00941925 t=1073
uklf 	部署	c=1 d=0.0141223 t=1073
ukuy 	部门	c=1 d=0.00554422 t=1073
uqut 	资产	c=1 d=0.0675424 t=1073
usub 	新闻	c=5 d=0.531447 t=1073
uxyi 	北京	c=3 d=1.48301 t=1073
vb 	好	c=20 d=6.956 t=1073
vbds 	好奇	c=1 d=0.00644146 t=1073
vbn 	她	c=1 d=0.100761 t=1073
vfb 	那	c=7 d=1.18097 t=1073
vn 	刀	c=1 d=0.00848038 t=1073
w 	人	c=5 d=0.146919 t=1073
wadc 	代码	c=1 d=0.0290133 t=1073
wam 	贷	c=2 d=0.128612 t=1073
warg 	贷后	c=1 d=0.154124 t=1073
wcng 	公司	c=1 d=0.00729913 t=1073
wdt 	做	c=1 d=0.316637 t=1073
wfc 	会	c=2 d=0.0845696 t=1073
wfhg 	值	c=1 d=0.932394 t=1073
wftc 	什么	c=4 d=0.829232 t=1073
wget 	使用	c=2 d=0.863432 t=1073
wgwy 	命令	c=2 d=0.0648608 t=1073
wh 	个	c=5 d=0.948358 t=1073
whbb 	个子	c=1 d=0.778801 t=1073
wjg 	但	c=1 d=0.00909528 t=1073
wjjg 	但是	c=1 d=0.0098528 t=1073
wkbw 	保险	c=1 d=0.0581343 t=1073
